customer_id,company_name,industry,region,segment,signup_date,product_primary,tier,channel,seats_committed,seats_active_90d,utilization_rate_90d,feature_adoption_rate,support_tickets_90d,major_incidents_180d,failed_payments_180d,discount_pct,mrr_usd,contract_start,contract_end,contract_term_months,customer_tenure_months,renewal_window_flag,churn,churn_probability_percent,services_used_count,feedback
1,Erickson-Dixon,Manufacturing,NE,Enterprise,2024-08-26,SIEM,Pro,Partner,5993,3648,0.609,0.55,3,0,1,0.216,78465.15,2024-09-28,2025-09-28,12,11,1,0,1,8,The product delivers value; planning to expand usage.
2,"Lewis, Brooks and Mcdaniel",Finance,West,Mid-Market,2023-12-13,XDR,Enterprise,Direct,52,21,0.41,0.677,2,0,0,0.152,1426.06,2024-02-28,2025-02-27,12,18,0,0,1,7,Support and product quality have been solid.
3,Watson Inc,Healthcare,NE,Enterprise,2023-11-28,XDR,Pro,Direct,492,112,0.227,0.655,2,0,0,0.155,9424.83,2023-12-10,2024-12-09,12,12,0,0,1,8,Great experience so far; features are meeting our needs.
4,Wright Ltd,Healthcare,West,SMB,2024-12-17,EDR,Pro,Direct,51,3,0.05,0.51,4,0,0,0.079,567.88,2025-01-22,2026-01-22,12,7,0,1,61,4,Results are inconsistent across teams; need clearer ROI. Pain points: low usage.
5,"Stevens, Thompson and Brown",Technology,SE,SMB,2024-12-07,EDR,Pro,Direct,37,20,0.549,0.727,5,0,0,0.155,372.05,2025-01-20,2026-01-20,12,7,0,0,1,8,Support and product quality have been solid.
6,"Hanson, Murphy and White",Media,West,Mid-Market,2025-07-06,SOAR,Pro,Partner,55,51,0.927,0.296,2,0,0,0.197,1218.95,2025-08-20,2026-08-20,12,0,0,0,1,8,Great experience so far; features are meeting our needs.
7,Hill-Miller,Media,NE,SMB,2025-05-21,WAF,Standard,Direct,104,47,0.456,0.508,3,0,0,0.094,994.06,2025-06-04,2027-06-04,24,3,0,0,1,6,Support and product quality have been solid.
8,"Mccall, Gonzalez and Montoya",Retail,SE,Enterprise,2025-04-22,SIEM,Standard,Online,374,118,0.314,0.699,2,0,0,0.168,3861.59,2025-06-02,2026-06-02,12,3,0,0,1,9,Happy with the service; adoption is growing.
9,Sanchez PLC,Retail,SE,SMB,2025-04-05,DLP,Enterprise,Partner,55,31,0.563,0.756,0,0,1,0.135,863.96,2025-06-26,2026-06-26,12,2,0,0,1,7,Happy with the service; adoption is growing.
10,"Lara, Cox and Osborn",Technology,MW,Mid-Market,2024-01-13,SASE,Standard,Direct,285,53,0.186,0.449,2,0,0,0.107,3675.05,2024-04-02,2025-04-02,12,12,0,1,54,6,Results are inconsistent across teams; need clearer ROI. Pain points: low usage.
11,Lee LLC,Finance,NE,Mid-Market,2024-01-07,SOAR,Standard,Partner,419,189,0.452,0.97,1,0,0,0.182,6498.39,2024-01-11,2025-01-10,12,18,0,0,1,10,The product delivers value; planning to expand usage.
12,"Thomas, Russell and Green",Government,SW,SMB,2025-06-24,IAM,Pro,Partner,38,23,0.609,0.768,0,0,0,0.168,495.42,2025-08-04,2026-08-04,12,1,0,0,1,8,Happy with the service; adoption is growing.
13,"Carpenter, Peterson and Webb",Telecom,MW,SMB,2024-08-16,SOAR,Pro,Direct,21,16,0.778,0.121,2,0,0,0.106,465.78,2024-11-06,2026-11-06,24,10,0,0,8,5,The product delivers value; planning to expand usage.
14,Rogers-Rowe,Healthcare,SE,SMB,2024-08-01,SASE,Pro,Direct,42,33,0.793,0.467,5,1,1,0.092,794.75,2024-10-19,2025-10-19,12,11,1,0,1,7,The product delivers value; planning to expand usage.
15,"Mcdonald, Walker and Fischer",Technology,MW,Mid-Market,2023-12-22,WAF,Enterprise,Partner,459,215,0.469,0.63,1,2,0,0.164,7586.22,2024-01-21,2025-01-20,12,12,0,0,1,8,Great experience so far; features are meeting our needs.
16,Anderson-Marks,Media,NE,SMB,2025-01-01,SASE,Standard,Online,49,26,0.531,0.228,3,0,1,0.029,732.24,2025-03-26,2026-03-26,12,5,0,0,7,6,The product delivers value; planning to expand usage.
17,Aguilar Group,Education,SE,SMB,2025-03-07,DLP,Standard,Direct,57,36,0.636,1.0,4,0,0,0.079,470.37,2025-04-11,2026-04-11,12,5,0,0,1,9,Support and product quality have been solid.
18,Hunt PLC,Media,NE,SMB,2025-02-11,SIEM,Standard,Partner,38,37,0.968,0.69,4,2,0,0.178,382.33,2025-04-07,2026-04-07,12,5,0,1,32,9,Support and product quality have been solid.
19,Cole-Le,Energy,MW,Mid-Market,2025-04-23,MDR,Enterprise,Direct,113,83,0.735,0.348,0,0,1,0.172,3728.53,2025-06-13,2026-06-13,12,3,0,0,1,8,Great experience so far; features are meeting our needs.
20,Ellis Group,Technology,West,Mid-Market,2024-09-12,SASE,Enterprise,Direct,530,146,0.275,0.524,2,1,0,0.115,12927.02,2024-11-04,2026-11-04,24,10,0,0,1,7,Happy with the service; adoption is growing.
21,Newton-Smith,Finance,MW,SMB,2025-01-09,EmailSecurity,Enterprise,Partner,15,11,0.73,0.607,1,0,0,0.172,148.17,2025-02-18,2026-02-18,12,7,0,0,1,8,The product delivers value; planning to expand usage.
22,Burton-Green,Finance,MW,Mid-Market,2025-01-27,SIEM,Enterprise,Direct,208,146,0.7,0.668,1,0,0,0.142,4110.03,2025-02-16,2026-02-16,12,7,0,0,1,8,Great experience so far; features are meeting our needs.
23,Williams Group,Government,SW,Mid-Market,2025-07-23,DLP,Standard,Direct,140,17,0.125,0.339,2,1,0,0.149,1156.85,2025-08-20,2027-08-20,24,0,0,1,57,5,"Mixed experience so far; some teams see value, others struggle. Pain points: low usage, limited feature value."
24,Morgan-Jones,Telecom,MW,Mid-Market,2024-07-17,WAF,Enterprise,Direct,201,125,0.623,0.788,1,1,1,0.102,3263.4,2024-07-30,2025-07-30,12,13,1,0,1,10,Happy with the service; adoption is growing.
25,Mercer-Rodriguez,Retail,West,Enterprise,2023-10-23,MDR,Standard,Partner,378,336,0.888,0.439,2,0,0,0.241,6897.12,2023-12-06,2024-12-05,12,12,0,0,1,9,Great experience so far; features are meeting our needs.
26,Beltran PLC,Healthcare,MW,SMB,2024-01-27,EmailSecurity,Standard,Direct,52,44,0.837,0.291,1,0,0,0.083,292.3,2024-03-14,2025-03-14,12,6,0,0,1,7,Great experience so far; features are meeting our needs.
27,"King, Carlson and Bailey",Manufacturing,SW,Mid-Market,2024-02-09,DLP,Pro,Direct,638,560,0.878,0.725,4,0,0,0.17,7328.83,2024-04-14,2026-04-14,24,12,0,0,1,9,The product delivers value; planning to expand usage. Usage and adoption are strong across teams.
28,Torres-Ramirez,Manufacturing,MW,SMB,2023-12-21,SIEM,Pro,Partner,47,23,0.498,0.517,2,1,0,0.172,683.75,2024-02-07,2025-02-06,12,12,0,0,1,6,The product delivers value; planning to expand usage.
29,Reyes Group,Energy,MW,Mid-Market,2024-02-17,EDR,Standard,Online,154,106,0.688,0.244,7,0,1,0.095,1163.74,2024-05-01,2025-05-01,12,16,0,1,57,6,"Results are inconsistent across teams; need clearer ROI. Pain points: support responsiveness, limited feature value."
30,"Hinton, Peters and Flores",Government,SW,Enterprise,2024-11-28,SASE,Standard,Direct,1082,656,0.606,0.461,1,0,0,0.102,14866.03,2025-01-17,2026-01-17,12,8,0,0,1,9,Happy with the service; adoption is growing.
31,Johnson-Kim,Healthcare,SE,SMB,2024-05-23,WAF,Standard,Partner,20,16,0.778,0.897,1,1,0,0.167,178.43,2024-07-22,2025-07-22,12,13,1,0,1,9,Great experience so far; features are meeting our needs. Usage and adoption are strong across teams.
32,Adams Group,Technology,West,SMB,2025-08-04,SASE,Pro,Direct,36,2,0.056,0.675,1,0,0,0.157,624.56,2025-08-20,2026-08-20,12,0,0,0,4,6,Support and product quality have been solid.
33,Kim PLC,Finance,SW,SMB,2024-04-03,XDR,Pro,Partner,46,33,0.72,0.593,4,0,0,0.189,891.61,2024-05-02,2025-05-02,12,12,0,0,1,7,The product delivers value; planning to expand usage.
34,Elliott Group,Technology,SE,SMB,2025-03-30,DLP,Pro,Online,31,17,0.559,0.539,2,0,0,0.014,405.0,2025-05-04,2026-05-04,12,4,0,1,41,6,"Mixed experience so far; some teams see value, others struggle."
35,House Group,Media,NE,Enterprise,2025-09-06,XDR,Standard,Direct,654,507,0.775,0.607,1,1,1,0.119,9622.11,2025-08-20,2026-08-20,12,0,0,0,1,9,Support and product quality have been solid.
36,Jones-Kelley,Education,West,Enterprise,2025-01-09,XDR,Enterprise,Direct,742,361,0.487,0.439,2,0,0,0.206,19241.57,2025-01-26,2026-01-26,12,7,0,0,1,8,Great experience so far; features are meeting our needs.
